,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
53,ADABUE_freeONLY,4.54949,3.31507,4.54949,1.46632,432.288,294.812,0,0,0.457843,0.312239,0,Cu,Yes,Cu
54,ADACAL_freeONLY,10.94435,9.57452,10.39387,0.671283,2060.23,3069.1,0,0,0.796058,1.18588,0,Zn,Yes,Zn
55,ADARAA_freeONLY,12.29205,4.93395,12.29205,0.936493,2082.85,2224.09,11.0419,11.7907,0.669479,0.714878,0,Co,Yes,Co
56,ADASAB_freeONLY,22.83625,13.49015,22.83429,0.343941,1662.57,4833.89,0,0,0.869624,2.52841,0,Cu,Yes,Cu
57,ADASEF_freeONLY,21.60854,9.90826,17.60218,0.467309,1940.45,4152.38,0,0,0.836031,1.78903,0,Cu,Yes,Cu
58,ADASIJ_freeONLY,18.23532,5.18092,18.17347,0.664987,2189.7,3292.84,0,0,0.753401,1.13296,0,Cu,No,
59,ADASOP_freeONLY,18.03611,3.77799,16.9145,0.75207,1731.09,2301.77,6.48086,8.61736,0.708157,0.941611,0,Zn,Yes,Zn
60,ADASUV_freeONLY,17.16775,5.40678,17.16775,0.655229,2264.77,3456.45,0,0,0.747785,1.14126,0,Co,No,
61,ADATAC_freeONLY,26.3346,10.26967,16.23482,0.351189,1795.49,5112.62,0,0,0.860759,2.45099,0,Zn,Yes,Zn
62,ADATEG_freeONLY,27.68688,13.77671,27.68688,0.270417,1458.3,5392.79,0,0,0.890439,3.29284,0,Cu,Yes,Cu
63,ADATIK_freeONLY,19.97103,10.97241,15.27131,0.427636,1870.27,4373.51,0,0,0.844331,1.97442,0,Cu,No,
64,ADATOQ_freeONLY,10.5421,9.07611,10.5421,0.632077,2315.61,3663.5,0,0,0.734732,1.16241,0,Ag,Yes,Ag
65,ADATUW_freeONLY,10.34629,8.86044,10.34629,0.640612,2322.54,3625.5,0,0,0.726409,1.13393,0,Ag,Yes,Ag
66,ADAVAE_freeONLY,10.21446,8.80719,10.21446,0.655338,2316.71,3535.14,0,0,0.725459,1.107,0,Ag,Yes,Ag
67,ADAVEI_freeONLY,10.15021,8.70819,10.15021,0.656268,2402.91,3661.48,0,0,0.725737,1.10585,0,Ag,Yes,Ag
68,ADAVIM_freeONLY,10.34557,8.90065,10.34557,0.637582,2359.93,3701.38,0,0,0.731874,1.14789,0,Ag,Yes,Ag
69,ADAXEK_freeONLY,5.76724,4.10445,5.76724,1.26343,1310.31,1037.11,0,0,0.501876,0.397232,0,Co,No,
70,ADAXIO_freeONLY,5.72682,5.00855,5.71823,1.28062,1164.94,909.674,0,0,0.49469,0.386291,0,Co,No,
71,ADINCU_freeONLY,4.24751,2.57871,4.2411,1.15873,0,0,257.191,221.959,0.472744,0.407984,0,Cu,No,
72,ADIQEL_freeONLY,4.43355,3.91364,4.43149,1.23763,829.872,670.532,0,0,0.479449,0.387392,0,Co,No,
73,ADOBAX_freeONLY,5.54028,3.75396,5.54028,1.63538,473.022,289.242,306.732,187.559,0.475755,0.290913,0,"V,Mn",No,
74,ADOBEB_freeONLY,5.50828,3.75739,5.29558,1.63538,471.454,288.284,305.937,187.073,0.47574,0.290904,0,"V,Mn",No,
75,ADOBIF_freeONLY,5.54781,3.82743,5.50516,1.73843,462.736,266.181,115.546,66.466,0.457413,0.263119,0,"V,Co",No,
76,ADOBOL_freeONLY,5.49265,3.8526,5.49265,1.73843,460.177,264.709,116.022,66.7397,0.45792,0.263411,0,"V,Co",No,
77,ADOBUR_freeONLY,5.46006,3.85441,5.46006,1.68576,439.227,260.551,225.437,133.73,0.4594,0.272518,0,"V,Ni",Yes,V
78,ADOCAY_freeONLY,5.42762,3.85093,5.40702,1.68576,436.918,259.181,225.007,133.475,0.459649,0.272666,0,"V,Ni",Yes,V
79,ADOCEC_freeONLY,5.40135,3.83278,5.21377,1.68483,452.355,268.487,228.727,135.757,0.459325,0.272624,0,"V,Ni",Yes,V
80,ADOCIG_freeONLY,5.38842,3.82956,5.38285,1.68483,454.129,269.539,228.972,135.902,0.459481,0.272716,0,"V,Ni",Yes,V
81,ADODAA_freeONLY,9.4167,4.89976,9.4167,1.06973,2054.04,1920.15,12.4577,11.6457,0.673708,0.629794,0,Cu,Yes,Cu
82,ADODII_freeONLY,5.97541,5.30365,5.62846,1.21661,1117.44,918.483,0,0,0.537391,0.44171,0,La,No,
83,ADODOO_freeONLY,5.9443,5.31331,5.61744,1.28797,1082.74,840.662,0,0,0.524692,0.40738,0,Eu,No,
84,ADODUU_freeONLY,5.93337,5.29096,5.57799,1.31574,1079.05,820.11,0,0,0.520768,0.395799,0,Tb,No,
85,ADOGEH_freeONLY,11.03499,5.05258,10.98511,1.08974,1870.38,1716.35,0,0,0.644047,0.591008,0,Cu,No,
86,ADOLOV_freeONLY,6.30481,4.31214,6.30481,1.07006,2280.3,2130.99,0,0,0.619395,0.578839,1.87E-07,Ni,No,
87,ADUROI_freeONLY,25.66555,13.8696,25.66083,0.416308,1380.25,3315.47,0,0,0.828489,1.99009,0,Zn,Yes,Zn
88,ADUWIH_freeONLY,7.59474,5.59184,7.5916,0.741888,2249.9,3032.67,0,0,0.701879,0.946071,0,Zn,Yes,Zn
89,ADUWON_freeONLY,15.44592,5.99724,15.44592,0.544829,2283.85,4191.87,0,0,0.762142,1.39887,0,Ni,No,
90,AFADAN_freeONLY,4.18795,3.07524,4.0778,1.12134,0,0,576.522,514.136,0.510156,0.454951,0,Fe,No,
91,AFEJOK_freeONLY,8.10084,6.60844,8.10084,0.744216,2075.98,2789.49,0,0,0.683095,0.917872,0,Cu,Yes,Cu
92,AFEKAX_freeONLY,8.19182,6.99421,8.19182,0.987281,1556.91,1576.96,67.7287,68.6012,0.641009,0.649267,0,Cu,Yes,Cu
93,AFENEE_freeONLY,4.49346,3.41581,4.49346,1.24906,822.443,658.452,0,0,0.496621,0.397597,0,Ag,Yes,Ag
94,AFIPAH_freeONLY,3.37513,2.49817,3.36604,2.03699,0,0,6.23069,3.05877,0.402335,0.197514,0,La,No,
95,AFITEP_freeONLY,4.6184,4.08958,4.60689,1.06928,1508.96,1411.19,0,0,0.528516,0.494273,0,Zn,No,
96,AFITIT_freeONLY,7.34464,5.35583,7.32523,1.01683,1392.59,1369.54,0,0,0.556692,0.547477,0,Zn,Yes,Zn
97,AFITOZ_freeONLY,10.19292,9.32537,10.19201,0.807744,1717.5,2126.29,0,0,0.667523,0.826404,0,Zn,No,
98,AFITUF_freeONLY,7.10663,5.04153,7.10663,1.32285,1385.18,1047.11,0,0,0.541834,0.409595,0,Zn,Yes,Zn
99,AFIXAO_freeONLY,6.3306,4.52097,6.32879,1.12223,1314.93,1171.71,0,0,0.559312,0.498394,0,Co,No,
100,AFIXES_freeONLY,6.43864,4.7481,6.42659,1.12574,1300.75,1155.46,0,0,0.564437,0.501392,0,Co,No,
101,AFOTOF_freeONLY,6.61536,5.04288,6.60477,1.17092,1620.28,1383.76,0,0,0.575659,0.491629,0,Eu,No,
102,AFOTUL_freeONLY,6.69579,5.07343,6.63455,1.15519,1646.23,1425.07,0,0,0.57938,0.501544,0,Sm,No,
