,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
2700,EWILIH_clean,7.31597,3.25434,7.31597,1.46193,0,0,1200.59,821.234,0.527933,0.36112,0.00031862,Zr,No,
12531,WIDTAF_clean,4.21493,3.25431,4.19378,1.66166,0,0,347.562,209.166,0.40972,0.246573,0,Zn,Yes,Zn
9782,ROJCIE01_clean,4.73909,3.25401,4.73225,1.7132,0,0,446.61,260.687,0.443271,0.258738,0,"Fe,Ag",Yes,Ag
2949,FAWCEN_SL,11.32434,3.25363,11.32434,0.947779,0,0,1383.05,1459.25,0.620903,0.655114,0,Zn,No,
53,ADABAK01_clean,3.98649,3.25353,3.98648,1.60777,0,0,169.936,105.696,0.408064,0.253807,0,Cu,Yes,Cu
7281,NARNUS_clean,3.65845,3.2533,3.65845,2.38904,0,0,78.1835,32.7259,0.379328,0.158779,0,Er,Yes,Er
5143,JAHXUM_clean,7.72066,3.25313,7.71275,1.33561,0,0,1467.15,1098.48,0.574691,0.430283,0,Gd,Yes,Gd
9961,RUPZIM_clean,3.48731,3.253,3.48731,1.5496,0,0,45.3639,29.2745,0.373776,0.241207,0,Zn,Yes,Zn
903,BOWSIQ_clean,5.02579,3.25281,5.01306,1.21107,0,0,829.298,684.763,0.483318,0.399083,0,Cu,No,
13695,YIBMON01_clean,4.19511,3.25269,4.19511,1.24036,0,0,760.717,613.304,0.521887,0.420755,0,Zn,Yes,Zn
10282,SEYDUW_clean,4.09478,3.25219,4.09478,1.64876,0,0,375.792,227.924,0.459899,0.278936,0,Y,Yes,Y
3823,GUFQIJ_clean,5.02923,3.25212,5.02923,1.22715,0,0,611.47,498.286,0.453097,0.369228,0,Co,No,
1872,DIXNUV_clean,4.05204,3.25197,4.05204,1.5661,0,0,394.082,251.632,0.475732,0.303768,0,Cu,No,
7835,ODAJAG_clean,4.17677,3.25151,4.17557,2.09663,0,0,425.877,203.124,0.429839,0.205014,0,Nd,Yes,Nd
1087,CAVTAW_clean,4.19891,3.25121,4.19891,1.54626,0,0,356.249,230.395,0.468121,0.302745,0,La,Yes,La
8151,OQOBUT_clean,6.63313,3.25109,6.61699,1.10898,0,0,935.748,843.794,0.547155,0.493387,0,Al,No,
3844,GUKNIK_clean,4.13183,3.25092,4.13183,1.88296,0,0,277.836,147.553,0.4438,0.235692,0,Ce,No,
14320,ZUDWUS_clean,3.74835,3.25092,3.50102,1.96839,0,0,115.697,58.7771,0.383755,0.194958,0,Fe,No,
15182,c5dt00281h_c5dt00281h2_clean.sa,3.74835,3.25092,3.50102,1.96839,0,0,104.861,53.2724,0.3752,0.190612,0,Fe,No,N/A
14534,c5ce01594d_c5ce01594d3_clean,4.24446,3.25007,4.23696,1.25899,0,0,425.561,338.018,0.441894,0.350991,0,Cu,Yes,Cu
13075,XAWBEE_clean,4.29017,3.25005,4.18338,2.27713,0,0,581.211,255.238,0.473579,0.207972,0,In,No,
7266,NAPZUB_clean,4.37202,3.24993,4.37202,1.55327,0,0,491.954,316.721,0.513159,0.330373,0,Cd,Yes,Cd
4996,IXAMEA_clean,4.43443,3.24991,4.43374,1.95953,0,0,491.925,251.042,0.480715,0.245322,0,Fe,Yes,Fe
14662,cg100226u_si_003_clean,6.73417,3.24943,6.73127,1.00875,0,0,1004.04,995.333,0.5397,0.535021,0,Zn,No,
12862,WUWQUB_charged,6.73406,3.24942,6.73116,1.2338,0,0,709.905,575.379,0.459711,0.372596,0,Zn,No,
2008,DOTWAL_clean,6.26428,3.24941,6.26428,1.63156,0,0,868.469,532.295,0.523524,0.320874,0,La,No,
9375,QUJKOX_clean,5.83219,3.24895,5.83125,1.36332,0,0,1085.9,796.516,0.493547,0.36202,0,"Fe,Na",Yes,Na
9784,ROJCIE_clean,4.60774,3.24894,4.60774,1.74103,0,0,415.314,238.545,0.43097,0.247537,0,"Fe,Ag",Yes,Ag
8701,PIVWAT_clean,3.93261,3.24889,3.93261,1.61403,0,0,224.042,138.809,0.382581,0.237035,0,Ag,Yes,Ag
